rbd,nombre,región,comuna,cod_edu,rama_edu,total.lectura,promedio.lectura,mediana.lectura,desviación.lectura,total.matemática,promedio.matemática,mediana.matemática,desviación.matemática,total.historia,promedio.historia,mediana.historia,desviación.historia,total.ciencias,promedio.ciencias,mediana.ciencias,desviación.ciencias,total.nem,promedio.nem,mediana.nem,desviación.nem,total.ranking,promedio.ranking,mediana.ranking,desviación.ranking,tipo.dependencia,nivel.socioeconómico,ruralidad
16985,LICEO BICENTENARIO PAULO FREIRE,REGION DE LOS LAGOS,QUELLON,310,CIENTÍFICO-HUMANISTA DIURNO,30,487.2,483,98.61,30,463.5,466,94.14,22,493.3,491,106.07,21,450.1,458,59.96,35,656.5,676,84.99,35,675.8,695,101.01,Municipal Corporación,Medio Bajo,Urbano
22664,LICEO POLITECNICO MIRASOL,REGION DE LOS LAGOS,PUERTO MONTT,610,TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL TECNICA Y SERVICIOS,28,433.9,412,112.83,28,463.5,445,82.69,15,452.5,465,73.4,19,436.3,410,115.58,35,581.2,572,116.33,35,610,590,145.69,Municipal DAEM,Bajo,Urbano
9082,COL TEC PROFESIONAL REPUBLICA ARGENTINA,REGION METROPOLITANA DE SANTIAGO,ÑUÑOA,410,TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL COMERCIAL,18,496,502,87.69,18,463.4,439.5,95.07,12,502.3,513.5,97.19,11,496.6,486,77.2,27,615,622,75.8,27,694.9,707,115.71,Municipal Corporación,Medio,Urbano
1036,COLEGIO PARTICULAR SAN FRANCISCO DE ASIS,REGION DE COQUIMBO,SALAMANCA,310,CIENTÍFICO-HUMANISTA DIURNO,94,472.6,478,101.55,93,463.4,456,100.66,76,457.9,468.5,99.73,86,459.6,458,102.15,97,607.1,578,115.17,97,619.4,580,128.8,Particular subvencionado,Medio,Urbano
7743,COLEGIO BICENTENARIO FELMER NIKLITSCHEK,REGION DE LOS LAGOS,PUERTO VARAS,410,TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL COMERCIAL,65,466,463,72.61,65,463.4,476,85.39,49,469.2,472,86.07,22,439.1,446.5,65.24,71,479.1,468,72.57,71,490.3,468,88.83,Particular subvencionado,Medio,Urbano
4782,CENTRO EDUCACIÓN EVANGÉLICO DE HUALPÉN,REGION DEL BIOBIO,HUALPEN,410,TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL COMERCIAL,31,462.9,448,75.43,31,463.4,445,101.52,27,427,442,84.29,23,435.4,439,70.98,31,606.3,605,80.43,31,636.4,629,107.08,Particular subvencionado,Medio Bajo,Urbano
1676,LICEO BICENTENARIO DE VIÑA DEL MAR,REGION DE VALPARAISO,VIÑA DEL MAR,310,CIENTÍFICO-HUMANISTA DIURNO,143,461.9,463,105.77,141,463.4,476,92.67,86,476.4,468.5,106.81,87,453.9,453,91.15,165,588.2,582,98.36,165,606.9,592,115.92,Municipal Corporación,Medio Bajo,Urbano
4975,LICEO BICENTENARIO DE EXCELENCIA INDUSTRIAL FEDERICO SCHWAGER,REGION DEL BIOBIO,CORONEL,510,TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL INDUSTRIAL,29,444.4,458,105.96,28,463.4,445,97.27,11,432.5,479,103.17,19,482.9,519,120.39,31,597.7,594,110.98,31,644.6,641,148.7,Corporación de administración delegada,Medio Bajo,Urbano
211,LICEO H.C. T.P. MARIA ELENA,REGION DE ANTOFAGASTA,MARIA ELENA,510,TÉCNICO-PROFESIONAL INDUSTRIAL,27,430.9,438,89.76,25,463.4,466,76.06,12,449.3,446,75.76,15,462.9,452,76.2,30,560.8,543.5,123.12,30,587.2,550,151.68,Municipal DAEM,Medio,Urbano
2835,LICEO POLIVALENTE DE MOLINA,REGION DEL MAULE,MOLINA,610,TÉCNICO-PROFESIONAL TECNICA Y SERVICIOS,14,423.8,404,92.64,13,463.4,466,59.06,11,444.1,457,100.86,7,441.4,441,74.87,20,578.7,594,101.67,20,597.2,605.5,120.89,Municipal DAEM,Bajo,Urbano
